จังหวัด,อำเภอ,ตำบล,อาการ,ช่วงเวลา,จำนวนปฏิบัติการ
กระบี่,คลองท่อม,คลองท่อมใต้,บาดเจ็บ,03:00 - 03:59,1
กระบี่,คลองท่อม,คลองท่อมใต้,บาดเจ็บ,11:00 - 11:59,3
กระบี่,คลองท่อม,คลองท่อมใต้,บาดเจ็บ,12:00 - 12:59,1
กระบี่,คลองท่อม,คลองพน,บาดเจ็บ,11:00 - 11:59,1
กระบี่,คลองท่อม,คลองพน,บาดเจ็บ,14:00 - 14:59,1
กระบี่,คลองท่อม,คลองพน,บาดเจ็บ,20:00 - 20:59,2
กระบี่,คลองท่อม,ทรายขาว,บาดเจ็บ,21:00 - 21:59,1
กระบี่,ปลายพระยา,คีรีวง,บาดเจ็บ,03:00 - 03:59,1
กระบี่,ปลายพระยา,ปลายพระยา,บาดเจ็บ,13:00 - 13:59,3
กระบี่,ปลายพระยา,ปลายพระยา,บาดเจ็บ,17:00 - 17:59,1
กระบี่,ปลายพระยา,เขาต่อ,บาดเจ็บ,17:00 - 17:59,1
กระบี่,ลำทับ,ดินอุดม,บาดเจ็บ,20:00 - 20:59,1
กระบี่,ลำทับ,ดินอุดม,บาดเจ็บ,23:00 - 23:59,1
กระบี่,ลำทับ,ดินแดง,บาดเจ็บ,17:00 - 17:59,1
กระบี่,ลำทับ,ทุ่งไทรทอง,บาดเจ็บ,19:00 - 19:59,1
กระบี่,ลำทับ,ลำทับ,บาดเจ็บ,00:00 - 00:59,1
กระบี่,ลำทับ,ลำทับ,บาดเจ็บ,20:00 - 20:59,1
กระบี่,อ่าวลึก,คลองหิน,บาดเจ็บ,10:00 - 10:59,4
กระบี่,อ่าวลึก,บ้านกลาง,บาดเจ็บ,19:00 - 19:59,1
กระบี่,อ่าวลึก,อ่าวลึกเหนือ,บาดเจ็บ,08:00 - 08:59,2
กระบี่,อ่าวลึก,อ่าวลึกใต้,บาดเจ็บ,09:00 - 09:59,2
กระบี่,อ่าวลึก,อ่าวลึกใต้,บาดเจ็บ,14:00 - 14:59,1
กระบี่,อ่าวลึก,อ่าวลึกใต้,บาดเจ็บ,18:00 - 18:59,1
กระบี่,อ่าวลึก,อ่าวลึกใต้,บาดเจ็บ,22:00 - 22:59,1
กระบี่,เกาะลันตา,ศาลาด่าน,บาดเจ็บ,00:00 - 00:59,2
กระบี่,เกาะลันตา,ศาลาด่าน,บาดเจ็บ,01:00 - 01:59,1
กระบี่,เกาะลันตา,ศาลาด่าน,บาดเจ็บ,03:00 - 03:59,1
กระบี่,เกาะลันตา,ศาลาด่าน,บาดเจ็บ,14:00 - 14:59,1
กระบี่,เกาะลันตา,ศาลาด่าน,บาดเจ็บ,20:00 - 20:59,2
กระบี่,เกาะลันตา,ศาลาด่าน,บาดเจ็บ,22:00 - 22:59,1
กระบี่,เกาะลันตา,ศาลาด่าน,บาดเจ็บ,23:00 - 23:59,1
กระบี่,เกาะลันตา,เกาะกลาง,บาดเจ็บ,16:00 - 16:59,1
กระบี่,เกาะลันตา,เกาะกลาง,บาดเจ็บ,19:00 - 19:59,1
กระบี่,เกาะลันตา,เกาะลันตาน้อย,บาดเจ็บ,19:00 - 19:59,1
กระบี่,เขาพนม,พรุเตียว,บาดเจ็บ,07:00 - 07:59,1
กระบี่,เขาพนม,สินปุน,บาดเจ็บ,10:00 - 10:59,1
กระบี่,เขาพนม,สินปุน,บาดเจ็บ,14:00 - 14:59,1
กระบี่,เขาพนม,สินปุน,บาดเจ็บ,18:00 - 18:59,1
กระบี่,เขาพนม,เขาดิน,บาดเจ็บ,00:00 - 00:59,1
กระบี่,เขาพนม,เขาดิน,บาดเจ็บ,11:00 - 11:59,3
กระบี่,เขาพนม,เขาดิน,บาดเจ็บ,15:00 - 15:59,1
กระบี่,เขาพนม,เขาพนม,บาดเจ็บ,13:00 - 13:59,1
กระบี่,เขาพนม,เขาพนม,บาดเจ็บ,15:00 - 15:59,2
กระบี่,เขาพนม,เขาพนม,บาดเจ็บ,17:00 - 17:59,1
กระบี่,เขาพนม,เขาพนม,บาดเจ็บ,21:00 - 21:59,1
กระบี่,เมืองกระบี่,กระบี่น้อย,บาดเจ็บ,07:00 - 07:59,1
กระบี่,เมืองกระบี่,กระบี่น้อย,บาดเจ็บ,10:00 - 10:59,1
กระบี่,เมืองกระบี่,กระบี่น้อย,บาดเจ็บ,12:00 - 12:59,2
กระบี่,เมืองกระบี่,กระบี่น้อย,บาดเจ็บ,13:00 - 13:59,1
กระบี่,เมืองกระบี่,กระบี่น้อย,บาดเจ็บ,16:00 - 16:59,1
กระบี่,เมืองกระบี่,กระบี่ใหญ่,บาดเจ็บ,00:00 - 00:59,2
กระบี่,เมืองกระบี่,กระบี่ใหญ่,บาดเจ็บ,17:00 - 17:59,1
กระบี่,เมืองกระบี่,กระบี่ใหญ่,บาดเจ็บ,22:00 - 22:59,1
กระบี่,เมืองกระบี่,ทับปริก,บาดเจ็บ,10:00 - 10:59,3
กระบี่,เมืองกระบี่,ทับปริก,บาดเจ็บ,14:00 - 14:59,2
กระบี่,เมืองกระบี่,ทับปริก,บาดเจ็บ,18:00 - 18:59,1
กระบี่,เมืองกระบี่,ทับปริก,บาดเจ็บ,19:00 - 19:59,4
กระบี่,เมืองกระบี่,ทับปริก,บาดเจ็บ,22:00 - 22:59,2
กระบี่,เมืองกระบี่,ปากน้ำ,บาดเจ็บ,09:00 - 09:59,1
กระบี่,เมืองกระบี่,ปากน้ำ,บาดเจ็บ,15:00 - 15:59,3
กระบี่,เมืองกระบี่,ปากน้ำ,บาดเจ็บ,17:00 - 17:59,5
กระบี่,เมืองกระบี่,ปากน้ำ,บาดเจ็บ,18:00 - 18:59,2
กระบี่,เมืองกระบี่,ปากน้ำ,บาดเจ็บ,21:00 - 21:59,1
กระบี่,เมืองกระบี่,ปากน้ำ,บาดเจ็บ,23:00 - 23:59,3
กระบี่,เมืองกระบี่,หนองทะเล,บาดเจ็บ,11:00 - 11:59,3
กระบี่,เมืองกระบี่,หนองทะเล,บาดเจ็บ,20:00 - 20:59,2
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,01:00 - 01:59,3
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,02:00 - 02:59,3
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,03:00 - 03:59,2
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,06:00 - 06:59,1
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,13:00 - 13:59,1
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,14:00 - 14:59,1
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,15:00 - 15:59,3
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,16:00 - 16:59,2
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,19:00 - 19:59,2
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,20:00 - 20:59,2
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,21:00 - 21:59,1
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,22:00 - 22:59,2
กระบี่,เมืองกระบี่,เขาคราม,บาดเจ็บ,09:00 - 09:59,1
กระบี่,เมืองกระบี่,เขาคราม,บาดเจ็บ,10:00 - 10:59,3
กระบี่,เมืองกระบี่,เขาคราม,บาดเจ็บ,11:00 - 11:59,1
กระบี่,เมืองกระบี่,เขาคราม,บาดเจ็บ,16:00 - 16:59,1
กระบี่,เมืองกระบี่,เขาคราม,บาดเจ็บ,22:00 - 22:59,5
กระบี่,เมืองกระบี่,ไสไทย,บาดเจ็บ,10:00 - 10:59,1
กระบี่,เมืองกระบี่,ไสไทย,บาดเจ็บ,11:00 - 11:59,1
กระบี่,เมืองกระบี่,ไสไทย,บาดเจ็บ,14:00 - 14:59,1
กระบี่,เมืองกระบี่,ไสไทย,บาดเจ็บ,15:00 - 15:59,2
กระบี่,เมืองกระบี่,ไสไทย,บาดเจ็บ,17:00 - 17:59,1
กระบี่,เมืองกระบี่,ไสไทย,บาดเจ็บ,18:00 - 18:59,3
กระบี่,เมืองกระบี่,ไสไทย,บาดเจ็บ,19:00 - 19:59,2
กระบี่,เมืองกระบี่,ไสไทย,บาดเจ็บ,22:00 - 22:59,1
กระบี่,เหนือคลอง,คลองขนาน,บาดเจ็บ,10:00 - 10:59,3
กระบี่,เหนือคลอง,คลองเขม้า,บาดเจ็บ,17:00 - 17:59,1
กระบี่,เหนือคลอง,เหนือคลอง,บาดเจ็บ,08:00 - 08:59,1
กระบี่,เหนือคลอง,เหนือคลอง,บาดเจ็บ,16:00 - 16:59,2
กระบี่,เหนือคลอง,เหนือคลอง,บาดเจ็บ,17:00 - 17:59,2
กระบี่,เหนือคลอง,โคกยาง,บาดเจ็บ,15:00 - 15:59,2
กระบี่,เหนือคลอง,โคกยาง,บาดเจ็บ,17:00 - 17:59,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,00:00 - 00:59,5
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,01:00 - 01:59,3
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,02:00 - 02:59,2
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,04:00 - 04:59,6
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,05:00 - 05:59,6
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,06:00 - 06:59,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,07:00 - 07:59,6
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,08:00 - 08:59,7
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,09:00 - 09:59,4
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,10:00 - 10:59,5
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,11:00 - 11:59,7
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,12:00 - 12:59,6
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,13:00 - 13:59,6
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,14:00 - 14:59,11
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,15:00 - 15:59,6
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,16:00 - 16:59,10
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,17:00 - 17:59,13
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,18:00 - 18:59,9
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,19:00 - 19:59,6
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,20:00 - 20:59,8
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,21:00 - 21:59,8
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,22:00 - 22:59,2
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,23:00 - 23:59,5
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,เสียชีวิต,01:00 - 01:59,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,เสียชีวิต,05:00 - 05:59,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,เสียชีวิต,07:00 - 07:59,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,เสียชีวิต,11:00 - 11:59,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,เสียชีวิต,12:00 - 12:59,1
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,เสียชีวิต,21:00 - 21:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,บาดเจ็บ,12:00 - 12:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,บาดเจ็บ,15:00 - 15:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,จรเข้เผือก,บาดเจ็บ,03:00 - 03:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,จรเข้เผือก,บาดเจ็บ,06:00 - 06:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,จรเข้เผือก,บาดเจ็บ,09:00 - 09:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,จรเข้เผือก,บาดเจ็บ,11:00 - 11:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,จรเข้เผือก,บาดเจ็บ,17:00 - 17:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,จรเข้เผือก,บาดเจ็บ,18:00 - 18:59,2
กาญจนบุรี,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,บาดเจ็บ,11:00 - 11:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,บาดเจ็บ,16:00 - 16:59,1
กาญจนบุรี,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,เสียชีวิต,03:00 - 03:59,1
กาญจนบุรี,ทองผาภูมิ,ชะแล,บาดเจ็บ,15:00 - 15:59,1
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,02:00 - 02:59,1
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,03:00 - 03:59,3
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,11:00 - 11:59,1
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,12:00 - 12:59,2
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,13:00 - 13:59,5
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,14:00 - 14:59,1
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,15:00 - 15:59,1
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,16:00 - 16:59,2
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,18:00 - 18:59,1
กาญจนบุรี,ทองผาภูมิ,ลิ่นถิ่น,บาดเจ็บ,10:00 - 10:59,2
กาญจนบุรี,ทองผาภูมิ,ลิ่นถิ่น,บาดเจ็บ,13:00 - 13:59,3
กาญจนบุรี,ทองผาภูมิ,สหกรณ์นิคม,บาดเจ็บ,18:00 - 18:59,1
กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,บาดเจ็บ,08:00 - 08:59,1
กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,บาดเจ็บ,14:00 - 14:59,1
กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,บาดเจ็บ,15:00 - 15:59,1
กาญจนบุรี,ท่ามะกา,ดอนขมิ้น,บาดเจ็บ,12:00 - 12:59,2
กาญจนบุรี,ท่ามะกา,ดอนชะเอม,บาดเจ็บ,11:00 - 11:59,1
กาญจนบุรี,ท่ามะกา,ดอนชะเอม,บาดเจ็บ,18:00 - 18:59,1
กาญจนบุรี,ท่ามะกา,ตะคร้ำเอน,บาดเจ็บ,01:00 - 01:59,1
กาญจนบุรี,ท่ามะกา,ตะคร้ำเอน,บาดเจ็บ,18:00 - 18:59,1
กาญจนบุรี,ท่ามะกา,ตะคร้ำเอน,บาดเจ็บ,20:00 - 20:59,1
กาญจนบุรี,ท่ามะกา,ตะคร้ำเอน,บาดเจ็บ,22:00 - 22:59,1
กาญจนบุรี,ท่ามะกา,ท่ามะกา,บาดเจ็บ,00:00 - 00:59,1
กาญจนบุรี,ท่ามะกา,ท่ามะกา,บาดเจ็บ,04:00 - 04:59,3
กาญจนบุรี,ท่ามะกา,ท่ามะกา,บาดเจ็บ,13:00 - 13:59,1
กาญจนบุรี,ท่ามะกา,ท่าเรือ,บาดเจ็บ,10:00 - 10:59,1
กาญจนบุรี,ท่ามะกา,ท่าเรือ,บาดเจ็บ,12:00 - 12:59,1
กาญจนบุรี,ท่ามะกา,ท่าเรือ,บาดเจ็บ,15:00 - 15:59,3
กาญจนบุรี,ท่ามะกา,ท่าเรือ,บาดเจ็บ,17:00 - 17:59,1
กาญจนบุรี,ท่ามะกา,ท่าเรือ,บาดเจ็บ,19:00 - 19:59,1
กาญจนบุรี,ท่ามะกา,ท่าเสา,บาดเจ็บ,16:00 - 16:59,1
กาญจนบุรี,ท่ามะกา,ท่าเสา,บาดเจ็บ,18:00 - 18:59,1
กาญจนบุรี,ท่ามะกา,ท่าไม้,บาดเจ็บ,14:00 - 14:59,1
กาญจนบุรี,ท่ามะกา,พงตึก,บาดเจ็บ,21:00 - 21:59,2
กาญจนบุรี,ท่ามะกา,พระแท่น,บาดเจ็บ,09:00 - 09:59,1
กาญจนบุรี,ท่ามะกา,พระแท่น,บาดเจ็บ,10:00 - 10:59,1
กาญจนบุรี,ท่ามะกา,พระแท่น,บาดเจ็บ,13:00 - 13:59,1
กาญจนบุรี,ท่ามะกา,พระแท่น,บาดเจ็บ,15:00 - 15:59,2
กาญจนบุรี,ท่ามะกา,พระแท่น,บาดเจ็บ,17:00 - 17:59,1
กาญจนบุรี,ท่ามะกา,พระแท่น,บาดเจ็บ,18:00 - 18:59,2
กาญจนบุรี,ท่ามะกา,พระแท่น,บาดเจ็บ,22:00 - 22:59,1
กาญจนบุรี,ท่ามะกา,ยางม่วง,บาดเจ็บ,21:00 - 21:59,1
กาญจนบุรี,ท่ามะกา,สนามแย้,บาดเจ็บ,10:00 - 10:59,1
กาญจนบุรี,ท่ามะกา,สนามแย้,บาดเจ็บ,13:00 - 13:59,2
กาญจนบุรี,ท่ามะกา,หนองลาน,บาดเจ็บ,20:00 - 20:59,1
กาญจนบุรี,ท่ามะกา,อุโลกสี่หมื่น,บาดเจ็บ,08:00 - 08:59,1
กาญจนบุรี,ท่ามะกา,เขาสามสิบหาบ,บาดเจ็บ,12:00 - 12:59,1
กาญจนบุรี,ท่ามะกา,เขาสามสิบหาบ,บาดเจ็บ,15:00 - 15:59,1
กาญจนบุรี,ท่ามะกา,เขาสามสิบหาบ,บาดเจ็บ,16:00 - 16:59,3
กาญจนบุรี,ท่ามะกา,แสนตอ,บาดเจ็บ,11:00 - 11:59,1
กาญจนบุรี,ท่ามะกา,แสนตอ,บาดเจ็บ,17:00 - 17:59,1
กาญจนบุรี,ท่ามะกา,แสนตอ,บาดเจ็บ,19:00 - 19:59,1
กาญจนบุรี,ท่าม่วง,ทุ่งทอง,บาดเจ็บ,09:00 - 09:59,1
กาญจนบุรี,ท่าม่วง,ทุ่งทอง,บาดเจ็บ,17:00 - 17:59,1
กาญจนบุรี,ท่าม่วง,ท่าตะคร้อ,บาดเจ็บ,07:00 - 07:59,1
กาญจนบุรี,ท่าม่วง,ท่าม่วง,บาดเจ็บ,01:00 - 01:59,1
กาญจนบุรี,ท่าม่วง,ท่าม่วง,บาดเจ็บ,02:00 - 02:59,1
กาญจนบุรี,ท่าม่วง,ท่าม่วง,บาดเจ็บ,07:00 - 07:59,1
กาญจนบุรี,ท่าม่วง,ท่าม่วง,บาดเจ็บ,09:00 - 09:59,1
กาญจนบุรี,ท่าม่วง,ท่าม่วง,บาดเจ็บ,13:00 - 13:59,1
กาญจนบุรี,ท่าม่วง,ท่าม่วง,บาดเจ็บ,15:00 - 15:59,1
กาญจนบุรี,ท่าม่วง,ท่าม่วง,บาดเจ็บ,18:00 - 18:59,1
กาญจนบุรี,ท่าม่วง,ท่าล้อ,บาดเจ็บ,02:00 - 02:59,2
กาญจนบุรี,ท่าม่วง,ท่าล้อ,บาดเจ็บ,06:00 - 06:59,2
กาญจนบุรี,ท่าม่วง,ท่าล้อ,บาดเจ็บ,17:00 - 17:59,1
กาญจนบุรี,ท่าม่วง,ท่าล้อ,บาดเจ็บ,18:00 - 18:59,3
กาญจนบุรี,ท่าม่วง,ท่าล้อ,บาดเจ็บ,19:00 - 19:59,2
กาญจนบุรี,ท่าม่วง,ท่าล้อ,บาดเจ็บ,21:00 - 21:59,1
กาญจนบุรี,ท่าม่วง,บ้านใหม่,บาดเจ็บ,05:00 - 05:59,1
กาญจนบุรี,ท่าม่วง,พังตรุ,บาดเจ็บ,00:00 - 00:59,1
กาญจนบุรี,ท่าม่วง,พังตรุ,บาดเจ็บ,07:00 - 07:59,1
กาญจนบุรี,ท่าม่วง,พังตรุ,บาดเจ็บ,13:00 - 13:59,1
กาญจนบุรี,ท่าม่วง,พังตรุ,บาดเจ็บ,17:00 - 17:59,1
กาญจนบุรี,ท่าม่วง,พังตรุ,บาดเจ็บ,19:00 - 19:59,1
กาญจนบุรี,ท่าม่วง,ม่วงชุม,บาดเจ็บ,17:00 - 17:59,1
