จังหวัด,อำเภอ,ตำบล,อาการ,จำนวนปฏิบัติการ,latitude,longitude,ถนน,หมายเลขทางหลวง,กม.
กระบี่,คลองท่อม,คลองท่อมใต้,บาดเจ็บ,5,7.94454,99.14363,ถนนเพชรเกษม,,
กระบี่,คลองท่อม,คลองพน,บาดเจ็บ,4,7.80052,99.22123,,,
กระบี่,คลองท่อม,ทรายขาว,บาดเจ็บ,1,7.734065,99.25847,,,
กระบี่,ปลายพระยา,คีรีวง,บาดเจ็บ,1,8.451594,98.83903,,,
กระบี่,ปลายพระยา,ปลายพระยา,บาดเจ็บ,4,8.564944,98.88849,,,
กระบี่,ปลายพระยา,เขาต่อ,บาดเจ็บ,1,8.606479,98.747,,,
กระบี่,ลำทับ,ดินอุดม,บาดเจ็บ,2,8.102233,99.3576,ทางหลวงชนบทหมายเลข กบ.4038,,
กระบี่,ลำทับ,ดินแดง,บาดเจ็บ,1,8.00209,99.3771,,,
กระบี่,ลำทับ,ทุ่งไทรทอง,บาดเจ็บ,1,8.045511,99.28846,,,
กระบี่,ลำทับ,ลำทับ,บาดเจ็บ,2,8.031865,99.329094,,,
กระบี่,อ่าวลึก,คลองหิน,บาดเจ็บ,4,8.316464,98.851616,,,
กระบี่,อ่าวลึก,บ้านกลาง,บาดเจ็บ,1,8.347702,98.7899,,,
กระบี่,อ่าวลึก,อ่าวลึกเหนือ,บาดเจ็บ,2,8.399007,98.79589,,,
กระบี่,อ่าวลึก,อ่าวลึกใต้,บาดเจ็บ,5,8.371378,98.70856,,,
กระบี่,เกาะลันตา,ศาลาด่าน,บาดเจ็บ,9,7.607641,99.05873,,,
กระบี่,เกาะลันตา,เกาะกลาง,บาดเจ็บ,2,7.759881,99.06358,,,
กระบี่,เกาะลันตา,เกาะลันตาน้อย,บาดเจ็บ,1,7.636945,99.09063,,,
กระบี่,เขาพนม,พรุเตียว,บาดเจ็บ,1,8.241397,99.13543,,,
กระบี่,เขาพนม,สินปุน,บาดเจ็บ,3,8.270952,99.259254,,,
กระบี่,เขาพนม,เขาดิน,บาดเจ็บ,5,8.332577,99.11921,,,
กระบี่,เขาพนม,เขาพนม,บาดเจ็บ,5,8.221094,99.04831,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,บาดเจ็บ,6,8.180777,98.96927,,,
กระบี่,เมืองกระบี่,กระบี่ใหญ่,บาดเจ็บ,4,8.096591,98.90371,,,
กระบี่,เมืองกระบี่,ทับปริก,บาดเจ็บ,12,8.199317,98.875015,,,
กระบี่,เมืองกระบี่,ปากน้ำ,บาดเจ็บ,15,8.073035,98.91139,ถนนมหาราช,,
กระบี่,เมืองกระบี่,หนองทะเล,บาดเจ็บ,5,8.076811,98.7729,,,
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,1,8.033006,98.826927,ทางหลวงแผ่นดินหมายเลข 4203,,
กระบี่,เมืองกระบี่,อ่าวนาง,บาดเจ็บ,22,8.045257,98.83228,,,
กระบี่,เมืองกระบี่,เขาคราม,บาดเจ็บ,11,8.23146,98.79544,,,
กระบี่,เมืองกระบี่,ไสไทย,บาดเจ็บ,12,8.074542,98.880486,,,
กระบี่,เหนือคลอง,คลองขนาน,บาดเจ็บ,3,7.953059,99.03814,,,
กระบี่,เหนือคลอง,คลองเขม้า,บาดเจ็บ,1,8.036004,98.98197,,,
กระบี่,เหนือคลอง,เหนือคลอง,บาดเจ็บ,5,8.082874,98.99161,ถนนเพชรเกษม,,
กระบี่,เหนือคลอง,โคกยาง,บาดเจ็บ,3,8.086924,99.077354,,,
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,บาดเจ็บ,142,0.0,0.0,,,
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,เสียชีวิต,6,0.0,0.0,,,
กาญจนบุรี,ด่านมะขามเตี้ย,กลอนโด,บาดเจ็บ,2,13.882478,99.43698,,,
กาญจนบุรี,ด่านมะขามเตี้ย,จรเข้เผือก,บาดเจ็บ,7,13.84013,99.24675,,,
กาญจนบุรี,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,บาดเจ็บ,2,13.814399,99.33317,,,
กาญจนบุรี,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,เสียชีวิต,1,13.814399,99.33317,,,
กาญจนบุรี,ทองผาภูมิ,ชะแล,บาดเจ็บ,1,14.989654,98.807106,,,
กาญจนบุรี,ทองผาภูมิ,ท่าขนุน,บาดเจ็บ,17,14.757341,98.64846,ทางหลวงแผ่นดินหมายเลข 323,,
กาญจนบุรี,ทองผาภูมิ,ลิ่นถิ่น,บาดเจ็บ,5,14.538038,98.73687,,,
กาญจนบุรี,ทองผาภูมิ,สหกรณ์นิคม,บาดเจ็บ,1,14.711028,98.760315,ทางหลวงชนบทหมายเลข กจ.3091,,
กาญจนบุรี,ทองผาภูมิ,ห้วยเขย่ง,บาดเจ็บ,3,14.632013,98.56828,,,
กาญจนบุรี,ท่ามะกา,ดอนขมิ้น,บาดเจ็บ,2,13.882762,99.83017,,,
กาญจนบุรี,ท่ามะกา,ดอนชะเอม,บาดเจ็บ,2,13.972353,99.80646,,,
กาญจนบุรี,ท่ามะกา,ตะคร้ำเอน,บาดเจ็บ,4,13.992561,99.74686,,,
กาญจนบุรี,ท่ามะกา,ท่ามะกา,บาดเจ็บ,5,13.923859,99.774185,,,
กาญจนบุรี,ท่ามะกา,ท่าเรือ,บาดเจ็บ,7,13.954094,99.75335,,,
กาญจนบุรี,ท่ามะกา,ท่าเสา,บาดเจ็บ,2,13.848633,99.80286,,,
กาญจนบุรี,ท่ามะกา,ท่าไม้,บาดเจ็บ,1,13.903158,99.80082,,,
กาญจนบุรี,ท่ามะกา,พงตึก,บาดเจ็บ,2,13.873022,99.7815,,,
กาญจนบุรี,ท่ามะกา,พระแท่น,บาดเจ็บ,9,14.019927,99.78473,เทศบาลพระแท่นสาย 60,,
กาญจนบุรี,ท่ามะกา,ยางม่วง,บาดเจ็บ,1,13.91359,99.837814,,,
กาญจนบุรี,ท่ามะกา,สนามแย้,บาดเจ็บ,3,13.955951,99.85205,,,
กาญจนบุรี,ท่ามะกา,หนองลาน,บาดเจ็บ,1,14.033928,99.82505,,,
กาญจนบุรี,ท่ามะกา,อุโลกสี่หมื่น,บาดเจ็บ,1,14.060921,99.77848,แยกทางหลวงหมายเลข 346,กจ.3003,1+913
กาญจนบุรี,ท่ามะกา,เขาสามสิบหาบ,บาดเจ็บ,5,13.867263,99.72726,,,
กาญจนบุรี,ท่ามะกา,แสนตอ,บาดเจ็บ,3,13.920502,99.73421,,,
กาญจนบุรี,ท่าม่วง,ทุ่งทอง,บาดเจ็บ,2,14.001934,99.64857,,,
กาญจนบุรี,ท่าม่วง,ท่าตะคร้อ,บาดเจ็บ,1,13.915751,99.70233,,,
